Timestamp,1. Which age group are you in?,2. What is your gender?,4. How would you describe your style?,3. Where do you live?,"5. Do you prefer Eastern or Western clothing, or both?",6. Pick your wardrobe essentials (Choose all that apply):,7. Who inspires your fashion choices?,8. How often do you buy new clothes?,9. Where do you usually buy clothes?,10. When do you like to shop the most?,11. What do you do when you have a fashion emergency?,12. Do you prefer designer brands for special events? ,"13. If you could choose one store to get unlimited clothes from, which would it be?",14. Has your style changed over age? ,15. Do you find it easy to find clothes that suit both your style and age?,16. Does society expect you to dress differently as you age? ,17. What is your average spending on clothes?,18. How much of your income goes to buying clothes?,"19. On a scale from 1 to 10, how much do you follow seasonal fashion trends?"
9/28/2024 0:54,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez , Kurtas, Dresses/Skirts, Blazers/Jackets, Sneakers ","Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein), Instagram (Influencers and hashtags guide me), Pinterest (It’s a mood board thing), Friends and family (Let’s be real, my cousin’s wedding looks are unbeatable), Celebrities (Mahira Khan or Fawad Khan, anyone?)",Every month (I enjoy regular shopping),"Local markets(Affordable and convenient), Designer stores ((Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium,etc), Online stores (Daraz, Outfitters,etc), Boutiques (Unique and  custom styles), Tailor-made (Clothes made just for you), Thrift stores (Landa Bazaar finds are the real gems)",Sale season (Taking advantage of discounts),Layer my clothes (To cover any issues),"Yes, always! (I appreciate high-quality brands)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"Yes, it’s easy for me","A little, but I still dress how I want","PKR 5000-10,000 ",6-10% (Occasional updates to my wardrobe),1
9/28/2024 15:02,18-24 (The trendsetter years),Female,Classic (Timeless and elegant),Islamabad (Stylish and serene),Eastern (Shalwar Kameez all day),Shalwar Kameez ,Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein),Every 3-6 months (I plan my shopping throughout the year),Designer stores (Brands like Khaadi or Amir Adnan),Wedding season (For special occasion shopping),Use safety pins (For quick fixes),"Yes, always! (I appreciate high-quality brands)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"Yes, it’s easy for me","A little, but I still dress how I want",PKR 2000-5000 ,6-10% (Occasional updates to my wardrobe),5
9/28/2024 15:03,18-24 (The trendsetter years),Male ,Formal (Dressed up for occasions),Punjab ( where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez , Kurtas, Blazers/Jackets, Abayas, Sneakers , Accessories (Watches, handbags, jewelry )",Friends and family,Every month (I enjoy regular shopping),"Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters etc), Tailor-made (Clothes made just for you",When the seasons change(Updating for summer or winter),Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"No, I struggle to find what I like","A little, but I still dress how I want",PKR 2000-5000 ,6-10% (Occasional updates to my wardrobe),10
9/28/2024 15:08,18-24 (The trendsetter years),Female ,Formal (Dressed up for occasions),Punjab ( where the real fashion shows happen!),Fusion (A blend of both styles),Kurtas ,Instagram (Influencers and hashtags guide me),Every 3-6 months(I plan my shopping throughout the year),Tailor-made (Clothes made just for you),Wedding season (For special occasion shopping),Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","A little, but I still dress how I want","PKR 5000-10,000 ",6-10% (Occasional updates to my wardrobe),5
9/28/2024 16:28,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion  (A blend of both styles),"Shalwar Kameez , Jeans ,Dresses/Skirts , Blazers/Jackets , Sneakers , Accessories (Watches, handbags, jewelry )",Friends and family ,Every month (I enjoy regular shopping),"Designer stores(Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)",When the seasons change (Updating for summer or winter),Borrow something from a friend (When I need help),"Yes, always! (I appreciate high-quality brands)",Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","A little, but I still dress how I want","Over PKR 10,000 ",11-20% (Occasional updates to my wardrobe),9
9/28/2024 17:04,18-24 (The trendsetter years),Male ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion  (A blend of both styles),"Dresses/Skirts , Abayas ",Pinterest (It’s a mood board thing),Only when I have to (When my clothes are worn out),Thrift stores (Landa Bazaar finds are the real gems),When the seasons change (Updating for summer or winter),Layer my clothes (To cover any issues),Sometimes (Only when I feel it's necessary),Thrift stores (A treasure hunt every time),yes,"Sometimes, it can be difficult","A little, but I still dress how I want",Under PKR 2000 ,0-5% (Just the essentials),3
9/28/2024 17:23,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez , Abayas , Sneakers , Accessories (Watches, handbags, jewelry)",Celebrities ,Once a year (I update my wardrobe for different seasons),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium,etc), Online stores (Daraz, Outfitters, etc )",When I’m bored (Shopping for fun),"Nothing, I own my fashion fails","No, I prefer custom-made or local market options (Support local artisans)",Thrift stores (A treasure hunt every time),maybe,"No, I struggle to find what I like","A little, but I still dress how I want",PKR 2000-5000,0-5% (Just the essentials),5
9/28/2024 17:34,55 and above (Timeless elegance),Male ,Classic (Timeless and elegant),Islamabad (Stylish and serene),Eastern (Shalwar Kameez all day),"Shalwar Kameez , Kurtas ",Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein),Once a year (I update my wardrobe for different seasons),"Local markets (Anarkali, Tariq Road — can’t beat the hustle), Malls (Dolmen, Emporium,etc)",Eid! (Got to shine at every dawat),Layer my clothes (To cover any issues),"No, I prefer custom-made or local market options (Support local artisans)",Thrift stores (A treasure hunt every time),yes,"Yes, it’s easy for me","No, people are accepting of my style choices",Under PKR 2000 ,0-5% (Just the essentials),3
9/28/2024 17:36,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Khyber Pakhtunkhwa (Style from the mountains),Fusion (A blend of both styles),Dresses/Skirts ,Pinterest (It’s a mood board thing),Only when I have to (When the clothes give up on me),Tailor-made (Clothes made just for you),When the seasons change (Updating for summer or winter),Layer my clothes (To cover any issues),"No, I prefer custom-made or local market options (Support local artisans)",Thrift stores (A treasure hunt every time),yes,"Sometimes, it can be difficult","A little, but I still dress how I want",PKR 2000-5000,6-10% (Occasional updates to my wardrobe),1
9/28/2024 17:49,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans , Dresses/Skirts , Blazers/Jackets , Sneakers , Accessories (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),"Local markets(Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium,etc), Tailor-made (Clothes made just for you)",When I’m bored (Shopping for fun),Borrow something from a friend (When I need help),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","No, people are accepting of my style choices",PKR 2000-5000 ,11-20% (Occasional updates to my wardrobe),7
